Production_lid,Output_Voucher_No,Output_Voucher_Date,FG_name,Output_Item_Code,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value
309258,SSM2324JWGRN00172,18/07/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#33(P-II)+34/23,0,0,KGS,900.0,335.0,301500.0,1537.005,1383304.324
189852,SSM2223JWGRN00308,23/01/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#221/22,,,KGS,5495.0,11.0,60445.0,18.868,103680.0
189859,SSM2223JWGRN00309,27/01/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#223/22,,,KGS,5820.0,11.0,64020.0,18.645,108515.0
156658,SSM2223JWGRN00193,05/12/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/394/22-23,,,KGS,5615.0,13.5,75802.5,22.174,124507.5
157262,SSM2223JWGRN00196,09/12/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/398/22-23,,,KGS,5920.0,13.5,79920.0,22.367,132410.0
148611,SSM2223JWGRN00157,15/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,AAL/356/22-23,,,KGS,2915.0,13.5,39352.5,21.941,63957.5
150910,SSM2223JWGRN00160,19/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/361/22-23,,,KGS,2675.0,13.5,36112.5,22.734,60812.5
152232,SSM2223JWGRN00163,25/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,AAL/373/22-23,,,KGS,3035.0,13.5,40972.5,21.306,64662.5
152248,SSM2223JWGRN00164,27/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,AAL/374/22-23,,,KGS,2700.0,13.5,36450.0,22.337,60310.0
290426,SSM2324JWGRN00123,03/07/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#93/23,0,0,KGS,6370.0,11.0,70070.0,19.031,121225.0
280750,SSM2324JWGRN00107,19/06/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#76/23,0,0,KGS,2345.0,11.0,25795.0,18.58,43570.0
309337,SSM2324JWGRN00174,03/08/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#126/23,0,0,KGS,6300.0,11.0,69300.0,18.584,117080.0
309355,SSM2324JWGRN00175,04/08/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#127/23,0,0,KGS,3655.0,11.0,40205.0,18.744,68510.0
191972,SSM2223JWGRN00319,08/02/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#232/22,,,KGS,6310.0,11.0,69410.0,18.05,113895.0
192190,SSM2223JWGRN00322,10/02/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#236/22,,,KGS,2015.0,11.0,22165.0,18.05,36370.0
203363,SSM2223JWGRN00339,19/02/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#244/22,,,KGS,1360.0,11.0,14960.0,17.908,24355.0
242003,SSM2324JWGRN00039,22/04/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#26/23,0,0,KGS,6270.0,11.0,68970.0,19.331,121205.0
293979,SSM2324JWGRN00136,08/07/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#98/23,0,0,KGS,6350.0,11.0,69850.0,18.263,115970.0
297973,SSM2324JWGRN00145,12/07/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#102/23,0,0,KGS,6270.0,11.0,68970.0,18.44,115620.0
298448,SSM2324JWGRN00147,17/07/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#105/23,0,0,KGS,6230.0,11.0,68530.0,18.425,114790.0
417643,SSM2324JWGRN00297,02/02/2024,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,211/23,0,0,KGS,405.0,0.0,0.0,13.457,5450.0
227269,SSM2324JWGRN00004,02/04/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#05/23,0,0,KGS,4090.0,11.0,44990.0,18.203,74450.0
274651,SSM2324JWGRN00099,01/06/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#63/23,0,0,KGS,2335.0,11.0,25685.0,18.199,42495.0
492565,SSM2425JWGRN00061,19/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#24/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
482187,SSM2425JWGRN00044,02/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#20/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
464610,SSM2425JWGRN00032,08/05/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#10/24,0,0,KGS,6865.0,0.0,0.0,107.965,741178.735
465678,SSM2425JWGRN00035,09/05/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#12/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
421479,SSM2324JWGRN00307,22/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#16/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
424673,SSM2324JWGRN00310,27/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#17/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
438172,SSM2324JWGRN00327,22/03/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#26/24,0,0,KGS,7025.0,0.0,0.0,113.39,796562.531
472914,SSM2425JWGRN00040,18/05/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#16/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
472971,SSM2425JWGRN00041,18/05/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#17/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
473259,SSM2425JWGRN00042,21/05/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#18/24,0,0,KGS,7165.0,0.0,0.0,101.767,729160.552
482187,SSM2425JWGRN00044,02/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#20/24,0,0,KGS,7056.0,0.0,0.0,101.318,714902.691
482303,SSM2425JWGRN00045,06/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#21/24,0,0,KGS,7055.0,0.0,0.0,100.955,712236.11
412275,SSM2324JWGRN00281,27/01/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#09/23,0,0,KGS,7075.0,0.0,0.0,121.058,856488.44
413200,SSM2324JWGRN00283,02/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#11/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
413756,SSM2324JWGRN00284,03/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#12/23,0,0,KGS,6815.0,0.0,0.0,118.187,805443.345
413772,SSM2324JWGRN00285,07/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#13/23,0,0,KGS,6695.0,0.0,0.0,119.882,802607.657
413772,SSM2324JWGRN00285,07/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#13/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
447481,SSM2425JWGRN00005,06/04/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#31/24,0,0,KGS,7037.0,0.0,0.0,110.886,780302.9
488012,SSM2425JWGRN00055,16/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#23/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
417633,SSM2324JWGRN00296,11/02/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#14/23,0,0,KGS,6910.0,0.0,0.0,118.36,817869.292
485226,SSM2425JWGRN00052,07/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#22/24,0,0,KGS,7155.0,0.0,0.0,102.403,732696.61
452005,SSM2425JWGRN00014,15/04/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#05/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
436359,SSM2324JWGRN00325,16/03/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#24/24,0,0,KGS,7025.0,0.0,0.0,110.342,775149.498
492565,SSM2425JWGRN00061,19/06/2024,"2,4 DICHLORO BENZOYL CHLORIDE",26000029,"2,4 DCBC CRUDE",#24/24,0,0,KGS,7015.0,0.0,0.0,182.852,1282703.941
605746,SSM2425JWGRN00111,12/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#34+35/25,93.18,100,KGS,1186.0,0.0,0.0,1392.868,1651941.214
606286,SSM2425JWGRN00113,16/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#42+43/25,90.10,100,KGS,1035.0,0.0,0.0,1510.625,1563497.214
615986,SSM2425JWGRN00117,31/01/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#68+69+70+71/25,93.81,100,KGS,1710.0,0.0,0.0,2012.175,3440819.142
627668,SSM2425JWGRN00124,19/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#102+103/25,92.85,100,KGS,965.0,0.0,0.0,1626.317,1569396.213
629441,SSM2425JWGRN00126,23/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#108+109+110+111/25,95.23,100,KGS,1860.0,0.0,0.0,1678.001,3121082.425
630876,SSM2425JWGRN00127,25/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#114+115/25,94.43,100,KGS,985.0,0.0,0.0,1929.754,1900807.891
633546,SSM2425JWGRN00128,28/02/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#120+121/25,94.48,100,KGS,1165.0,0.0,0.0,1324.999,1543623.991
636158,SSM2425JWGRN00131,05/03/2025,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000083,4-FTMP CRUDE,#126+127+128+129/25,94.65,100,KGS,1770.0,0.0,0.0,1744.208,3087247.977
